autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
Anderson Azelmam,"Guapimirim, RJ","Da para se fazer de tudo no parque. Exercícios, pic-nic, passeios românticos, ensaios fotográficos e etc. Atenção, a pesca é proibida!",Feita em 10 de agosto de 2020,Belo parque
Leticia171,17 contribuições,"Amei o bosque. Em tempos de COVID,  onde o isolamento social é necessário,  caminhar pelo bosque, com a vegetação nativa e em caminhos pavimentados trazem conforto e segurança.",Feita em 30 de julho de 2020,Paz e tranquilidade
SeanBsb,"São Paulo, SP","Lugar muito gostoso para correr, andar de bicicleta e dar volta com cachorro. Bela vista dos prédios ao redor. Fácil acesso. Recomendo",Feita em 19 de julho de 2020,Lindo parque
adaol919,"Curitiba, PR","Sem dúvida é o maior parque de Curitiba,  uma imensa área com lagos, bosques passarelas, é muito utilizado para a pratica de exercícios físicos,com área de lazer para pickniques com churrasqueiras pistas de caminhada e para ciclistas,, além de uma barração que é utilizado para exposições, eventos e congressos. Vários amplos estacionamentos, dependendo por qual entrada voce tem acesso ao parque, e nas mediações ainda voce encontra o museu do automóvel. Parada obrigatória para quem utiliza a linha turismo. Existem vários quiosques com venda de  alimentos e bebidas",Feita em 6 de maio de 2020,O MAIOR
Gê pôr aí,"Belford Roxo, RJ","Parque bom para quem gosta de uma atividade física ao ar livre, tem muitas capivaras no lago, tem restaurantes bem na entrada, bom passeio  para quem vai  com crianças.",Feita em 29 de março de 2020,Bom para passeio com crianças
Leonidia,"Araruama, RJ","Local gostoso para fazer caminhadas e se exercitar, pra quem gosta de exercícios é uma boa pedida. Nós andamos por todo o parque, mas é bem cansativo.",Feita em 28 de março de 2020,Enorme
jehkrdoso,"Ijuí, RS","Uma graciosa surpresa! Esse é o parque dos moradores mesmo. Super gostoso de ficar, ele é enorme, e cada lado dele parece que você esta em um parque diferente do outro. Muito agradável! Confesso que não dava vontade de ir embora!",Feita em 19 de março de 2020,Super agradável!
600 Hermes,"Curitiba, PR","O Parque Barigui é hoje uma Atração para a cidade de Curitiba. Lá tem tudo: Restaurante, o Lago muito bonito, tem Expaço para  EXPOSIÇÕES, TEM ESTACIONAMENTO, TEM AQUELE CÔCO E A CANA DE AÇUCAR GELADO.",Feita em 13 de março de 2020,"O 1º PARQUE DE CURITIBA,  É O MAIS BONITO   E O MELHOR  PARA   FAZER SUA CAMINHA MATINAL OU NO ENTARDECER."
Rodrigo Ramos,"Porto Alegre, RS",Fomos ao parque para curtir um pouco a natureza e relaxar a beira do lago. Lugar gostoso para se tomar um chimarrão ou fazer um piquenique.,Feita em 9 de março de 2020,Visita à parque
Ana Paula Correia dos Santos,"Benedito Novo, SC","Um lugar lindo para conhecer com toda família, inclusive com pets.  Espaço para correr, patinar, andar de bike, de skate,etc. Até levar sua toalha e fazer um picnic. Lugar lindo e conservado.",Feita em 8 de março de 2020,Parque familiar 
Nilza P,"Vargem Grande do Sul, SP",Vale a pena conhecer esse parque. Maravilhoso.E o mais legal é que fica próximo ao Park Shopping Barigui.,Feita em 6 de março de 2020,Lugar lindo!
cintia s,11 contribuições,"Pra quem gosta de pedalar e ao mesmo tempo apreciar uma bela paisagem, sem dúvidas esse parque é uma excelente opção. Muito espaço para caminhada e é possível até fazer um piquenique. O por do sol tem a melhor vista.",Feita em 5 de março de 2020,Lindo parque
lpereira111953,"Curitiba, PR",Melhores e dia para conhecer este parque.,Feita em 5 de março de 2020,Visita sábado de manhã
Clovis A Manfio,"Barueri, SP","Muito bem cuidado, limpo, sinalizado e seguro. Rotas para bicicleta e para caminhadas separadas para segurança dos usuários. Aproveite a parada do onibus turistico e visite também o Museu do Automóvel",Feita em 2 de março de 2020,O parque que é a cara de Curitiba
Vanessa C,"Rio de Janeiro, RJ","Quer fazer uma caminhada, corrida ou andar de bike? Lá é o lugar. Dá pra alugar bike e patinete lá na frente. Pagamos 29 reais por quase 1h de bike. Achei válido! Além disso, na frente do Parque, está localizado o Museu de Automóveis.  ",Feita em 2 de março de 2020,Perfeito para um domingo!
@luna.tiffany.pet,"São Paulo, SP","Com 1,4 milhões de metros quadrados de área, é um dos maiores parques da cidade.",Feita em 1 de março de 2020,"O melhor parque de Curitiba, para quem tem PET!"
Nathalia A,13 contribuições,"Lugar que te permite estar em contato com a natureza, capivaras que não se incomodam com a presença das pessoas, patos, ganços há aluguel de bicicletas e patinetes disponíveis. Vá de tênis, calça e use repelente.",Feita em 1 de março de 2020,Ótimo para atividades ao ar livre
eulers56,"Recife, Brasil","Ótimo lugar, limpo e organizado, ideal para fazer atividades ao ar livre, correr, andar de bicicleta, ou apenas fazer um passeio.",Feita em 29 de fevereiro de 2020,Ótimo lugar para atividades ao ar livre
Pelomundoeuvou,"Vitória, ES","Parque grande, bonito, bem cuidado. Fica em frente ao shopping Barigui. Tem um lago com capivaras que são um show a parte.",Feita em 27 de fevereiro de 2020,Grande
Leila K,"São Bernardo do Campo, SP","Parque amplo com espaço para caminhadas e piqueniques.  As capivaras dão um show a parte, andando pelos jardins e nem se incomodando com as pessoas.  As pistas ao redor do lago são muito boas.",Feita em 27 de fevereiro de 2020,Um dos melhores parques de Curitiba !
Anna Barbara M,"Itajaí, SC","Ótimo parque para caminhar, correr, andar de bicicleta ou patinete. As capivaras são um show a parte.",Feita em 26 de fevereiro de 2020,Espaço amplo e capivaras
Ary Jose Freitas,10 contribuições,"Já na chegada um gigante estacionamento para automóveis, motos e bikes. Um lago limpo e com a moradia de um jacaré. Pistas para andar e correr, muitas árvores e plantas arborizando o ambiente, restaurantes e churrasqueiras para as famílias. Dá para passar o dia ali. Aconchegante!",Feita em 19 de fevereiro de 2020,Passeio com emoções
Tleis,Curitiba,"Ótimo lugar para descansar, encontrar amigos, tomar um sol, brincar com os Animais de estimação, tomar um chopp, enfim, um lugar para quem vem a Curitiba não pode deixar de visitá-lo.",Feita em 18 de fevereiro de 2020,Corrida pela manhã
EloizaMC,11 contribuições,"Um dos parques mais bonitos de Curitiba. Uma delícia para fazer uma boa caminhada, ou simplesmente admirar a natureza, as capivaras tomando um sol ( quando aparece por aqui) rsrs. Lindo passeio!",Feita em 12 de fevereiro de 2020,Belíssimo parque!
Nelsonlage,"Nova Iguaçu, RJ","Um dos melhores parques de Curitiba. Excelente para caminhadas, com quiosques para lanches e bebidas.",Feita em 11 de fevereiro de 2020,Passeio em família
Graciete P,"Curitiba, PR","Pelo menos 3 vezes na semana vou ao Parque Barigui para correr ou caminhar. Vou a eventos no Centro de Exposições, tomar água de côco, passear com as amigas, fazer piquenique. Construi uma casa no parque e morei por 10 anos. Amo esse parque.",Feita em 11 de fevereiro de 2020,Meu parque preferido!!
Lisi Rossa,"Correia Pinto, SC","Fomos logo após o almoço, lugar tranquilo, sossegado, ótimo para fazer caminhadas, andar de bike ou patinete, ler um livro ou fazer um piquenique com as crianças. Tínhamos pouco tempo para ficar no parque e logo o tempo fechou para chuva, então não deu para aproveitar muito, mas mesmo assim foi muito legal, vimos animais e tiramos várias fotos. Pretendemos voltar, com certeza. Dica: leve repelente.",Feita em 11 de fevereiro de 2020,Ótimo para relaxar
Eliane D,14 contribuições,O shopping Barigui é na minha opinião o melhor shopping de Curitiba...sempre faço meus encontros com amigos e famíliar lá...ultil ao agradável ♥️😋💞👗👘👜,Feita em 11 de fevereiro de 2020,Noite agradável com boa companhia ✨✨
Daniel Lima,"Curitiba, PR","Lazer, tranquilidade, muitaaaa área verde, verdadeiro paraiso, não tem como visitar Curitba e não passar por aqui.",Feita em 10 de fevereiro de 2020,Ar Puro.
Thay Duarte,"Caiobá, PR",Me surpreendi com esse parque. Muito grande e com uma estrutura muito diferente do usual. Adorei ver as capivaras,Feita em 10 de fevereiro de 2020,Demais
Cátia Pereira,"Cabo Frio, RJ","Lindo parque, bem cuidado, proporciona ótimos momentos de contato com a natureza, tem um restaurante do lago com uma vista deliciosa e se está com tempo de uma volta completa de skate elétrico disponível por todo o parque ",Feita em 9 de fevereiro de 2020,Um parque muito agradável 
Andréa S,15 contribuições,"O parque é grande, muito bem cuidado, com pista para ciclista separada da do pedestre, com pássaros, capivara, peixe. ",Feita em 9 de fevereiro de 2020,Melhor parque de Curitiba
Leandro kawase,"Curitiba, PR","Parque muito  bonito ! Otima energia ! Bastante opções  no parque , tudo para tornar um passeio super bacana ao ar livre seja com os amigos pu aquela companhia especial ! Recomendo!",Feita em 4 de fevereiro de 2020,Parque bacana !
tbaruffi,"Jaraguá do Sul, SC",Eh meu parque preferido em Curitiba. Excelente para prática de atividades físicas e com outras opções de lazer!!! Muito bom!!!,Feita em 31 de janeiro de 2020,Perfeito para caminhar
Reginaldo L,"Belo Horizonte, MG",Um outro bom parque de Curitiba. O local possui pista demarcada para ciclista e para quem quer caminhar bastante arborizado e opções de locar bicicletas e patinetes. Possui um grande estacionamento gratuito no parque. ,Feita em 29 de janeiro de 2020,Ótimo para caminhada
Igor A,"Salvador, BA","Local muito agradável, limpo, arborizado, conservado. Vale a pena a visita com a família. Possui local para lanchar.",Feita em 29 de janeiro de 2020,Muito bom
Gilberto M,"Recife, PE","Um parque muito bonito, ótimo para a família, bem amplo, é possível patinar , andar de bicicleta e se divertir bastante . bem cuidado, e bem arborizado. ",Feita em 28 de janeiro de 2020,lindo parque
Cristina G,"Sorocaba, SP","Lindo! Enorme. Prepare- se para uma super caminhada. Vale muito uma visita sem pressa. Possui um belo lago. Local de caminhada, esportes. Possui restaurante, pavilhão de exposições e amplo estacionamento. Recomendamos.",Feita em 23 de janeiro de 2020,Outro belo cartão postal de Curitiba.
Marcia S,"Salvador, BA","Parque lindo d+! Os jardins são incríveis, fiquei encantada com as cores, as flores. A cachoeira é um linda",Feita em 16 de janeiro de 2020,Parque Barigui
gabrieller0cha,85 contribuições,"Parque ao ar livre gratuito, lindo, mto bem conservado, com estacionamento tb gratuito. Único problema: donos de cães que os levam para passear ainda deixam no local as fezes dos animais. Infelizmente encontramos várias ao longo do percurso... atenção aí pessoal, levou o totó p passear, leve tb a sacolinha para recolher as necessidades dos bichinhos 😜",Feita em 15 de janeiro de 2020,"Excelente parque para passear, caminhar, correr, andar de bicicleta ou patins ou patinete... td ao ar livre e gratuito."
Lara Oliveira,"Pelotas, RS","É interessante para passar uma tarde, mas ao chegar me decepcionei um pouco. O que é legal são as capivaras, mas em geral o parque não tem nada de muito diferente além de grama e água. É bom para relaxar, mas acho mais interessante o parque Tanguá por exemplo.",Feita em 12 de janeiro de 2020,Legal
Sergio B,"Curitiba, PR","O Parque Barigui é um dos muitos parques de Curitiba. É o maior e um dos mais bonitos, juntamente com o Parque Tanguá, com muitas caminhadas, um grande lago e uma vista do perfil da cidade.  Vale a pena. ",Feita em 12 de janeiro de 2020,Parques
Gisele Lira Tourinho,"Rio de Janeiro, RJ","Fomos meu marido e Eu, em um domingo de verão (Janeiro de 2020) e o clima estava maravilhoso. Alugamos um patinete elétrico, super baratinho (pagamos 15 reais em cada, em meia hora) e foi muito legal andar pelo parque de patinete. O parque é super agradável, tinha bastante casal e família, tem via sinalizada e individual para bike/patinete, pedestre caminhada e pedestre corrida. Tem opções de alugar bike também, além de patinetes. Ficam várias barraquinhas vendendo pipoca, água de côco e caldo de cana. Muita gente também fazendo piquenique...tudo bem ordenado e bonito. Não indico ir lá com fome, porque as opções para comer são restritas a pipoca, churros e crepe daqueles no palito. Só lanches mesmo. Mas o parque em si foi uma grata surpresa para nós. Que domingo agradável passamos lá...Muito bom!!",Feita em 12 de janeiro de 2020,Delícia de Parque!!!
Thatiane Pellissier,"Londrina, PR","Parque muito gostoso e movimentado. Seja para passear com a família, com o pet... Há patinetes para locar, opções para comer e beber (carrinhos de doce, caldo de cana etc). Um bom lugar para fazer um piquenique.",Feita em 11 de janeiro de 2020,Excelente para passar o dia 
Raili,"Maringá, PR","Pensei que o parque era pequeno, mas não se engane, o parque é gigantesco. Não consegui andar tudo, realmente da para se perder dentro do parque. Mas é lindo, muito bem arborizado, limpo, com várias pontes, rios, lagos, quadras para prática de esportes.",Feita em 10 de janeiro de 2020,Perfeito!!
Compass623141,"Rio de Janeiro, RJ","Parque lindo, perfeito para um piquenique, passeio com a família, local seguros, natureza abundante, simplesmente lindo",Feita em 10 de janeiro de 2020,Beleza
ROBERTO P,39 contribuições,"Lugar muito bonito e tranquilo, ótimo para relaxar e realizar caminhadas, próximo ao Shopping, gostei.",Feita em 9 de janeiro de 2020,Muito bonito
Otton Rogerio Lima,"Curitiba, PR","Um lugar diferenciado entre os varios parques oferecidos na cidade de Curitiba, com muito verde e qualidade no ar, pratica de diversos esportes e lazer. Ideal para toda a familia. Durante o ano todo sempre uma qualidade de vida.",Feita em 9 de janeiro de 2020,Cuidando da saúde
